mobile_name,mobile_price,mobile_color,Sims,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,Brand,5G_connectivity,VOLTE_connectivity,4G_connectivity,3G_connectivity,2G_connectivity,primary_cam,secondary_cam,tertiary_cam,quaternary_cam,Low_light_sensor,f_cam_primary,f_cam_secondary
8 ,9799,Blue,2,6.22,HD+,Android Pie 9,Octa Core,1.95,64,4,5000,75.41,156.48,9.4,188.0,Redmi,No,Yes,No,Yes,Yes,12,2,0,0,No,8,0
8 ,9799,Black,2,6.22,HD+,Android Pie 9,Octa Core,1.95,64,4,5000,75.41,156.48,9.4,188.0,Redmi,No,Yes,No,Yes,Yes,12,2,0,0,No,8,0
K20 Pro ,24999,Red,2,6.39,FHD+,Android Pie 9,Octa Core,2.84,128,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
Note 9 Pro ,16999,Blue,2,6.67,FHD+,Android 10,Octa Core,2.3,64,4,5020,76.68,165.75,8.8,209.0,Redmi,No,Yes,No,Yes,Yes,48,8,5,2,No,16,0
K20 Pro ,24999,Black,2,6.39,FHD+,Android Pie 9,Octa Core,2.84,128,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
A3 ,16939,White,2,6.08,HD+,Android Pie 9,Octa Core,2.0,128,6,4030,71.85,153.48,8.475,173.8,Mi,No,Yes,No,Yes,Yes,48,8,2,0,No,32,0
K20 Pro ,24999,Blue,2,6.39,FHD+,Android Pie 9,Octa Core,2.84,128,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
Note 7 Pro ,16999,Black,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,128,6,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,48,5,0,0,No,13,0
A3 ,14999,Blue,2,6.08,HD+,Android Pie 9,Octa Core,2.0,128,6,4030,71.85,153.48,8.475,173.8,Mi,No,Yes,No,Yes,Yes,48,8,2,0,No,32,0
Mix 2 ,16999,Black,2,5.99,FHD+,Android Nougat 7,Octa Core,2.5,128,6,3400,75.49,151.86,7.7,185.0,Mi,No,Yes,No,Yes,Yes,12,0,0,0,No,5,0
K20 Pro ,24999,White,2,6.39,FHD+,Android Pie 9,Octa Core,2.84,128,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
A3 ,17350,Gray,2,6.08,HD+,Android Pie 9,Octa Core,2.0,128,6,4030,71.85,153.48,8.475,173.8,Mi,No,Yes,No,Yes,Yes,48,8,2,0,No,32,0
K20 Pro ,29999,Black,2,6.39,FHD+,Android Pie 9,Octa Core,2.84,256,8,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
Note 7 Pro ,13999,Red,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,128,6,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,48,5,0,0,No,13,0
K20 ,21999,Black,2,6.39,FHD+,Android Pie 9,Octa Core,2.2,64,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
Y2 ,13495,Gold,2,5.99,HD+,Android Oreo 8,Octa Core,2.0,64,4,3080,77.26,160.73,8.1,168.0,Redmi,No,No,Yes,Yes,Yes,12,5,0,0,No,16,0
K20 Pro ,29999,White,2,6.39,FHD+,Android Pie 9,Octa Core,2.84,256,8,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
K20 ,24999,Blue,2,6.39,FHD+,Android Pie 9,Octa Core,2.2,128,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
Note 6 Pro ,15990,Gold,2,6.26,FHD+,Android Oreo 8,Octa Core,1.8,64,4,4000,76.4,157.9,8.26,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,2
A2 ,13999,Red,2,5.99,FHD+,Android Oreo 8,Octa Core,2.2,64,4,3010,75.4,158.7,7.3,168.0,Mi,No,Yes,No,Yes,Yes,20,12,0,0,No,20,0
10 ,55799,Gray,2,6.67,FHD+,Android 10,Octa Core,2.84,256,8,4780,74.8,162.58,8.96,209.0,Mi,Yes,Yes,No,Yes,Yes,108,0,0,0,No,20,0
10 ,51800,Green,2,6.67,FHD+,Android 10,Octa Core,2.84,128,8,4780,74.8,162.58,8.96,209.0,Mi,Yes,Yes,No,Yes,Yes,108,0,0,0,No,20,0
K20 ,24999,Red,2,6.39,FHD+,Android Pie 9,Octa Core,2.2,128,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
A2 ,16899,Red,2,5.99,FHD+,Android Oreo 8,Octa Core,2.2,128,6,3010,75.4,158.7,7.3,168.0,Mi,No,Yes,No,Yes,Yes,20,12,0,0,No,20,0
A2 ,16899,Gold,2,5.99,FHD+,Android Oreo 8,Octa Core,2.2,128,6,3010,75.4,158.7,7.3,168.0,Mi,No,Yes,No,Yes,Yes,20,12,0,0,No,20,0
K20 ,24999,Black,2,6.39,FHD+,Android Pie 9,Octa Core,2.2,128,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
A2 ,16899,Blue,2,5.99,FHD+,Android Oreo 8,Octa Core,2.2,128,6,3010,75.4,158.7,7.3,168.0,Mi,No,Yes,No,Yes,Yes,20,12,0,0,No,20,0
Note 5 Pro ,16999,Red,2,5.99,FHD+,Android Nougat 7,Octa Core,1.8,64,6,4000,75.35,158.58,8.05,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,0
K20 ,24999,White,2,6.39,FHD+,Android Pie 9,Octa Core,2.2,128,6,4000,74.3,156.7,8.8,191.0,Redmi,No,Yes,No,Yes,Yes,48,13,8,0,No,20,0
,13999,Gray,1,5.0,FHD,Android KitKat 4,Quad Core,2.3,16,2,3050,73.6,144.0,8.1,145.0,Mi,No,No,Yes,Yes,Yes,13,0,0,0,No,2,0
8 ,9799,Green,2,6.22,HD+,Android Pie 9,Octa Core,1.95,64,4,5000,75.41,156.48,9.4,188.0,Redmi,No,Yes,No,Yes,Yes,12,2,0,0,No,8,0
8 ,9799,Red,2,6.22,HD+,Android Pie 9,Octa Core,1.95,64,4,5000,75.41,156.48,9.4,188.0,Redmi,No,Yes,No,Yes,Yes,12,2,0,0,No,8,0
8 ,9799,Black,2,6.22,HD+,Android Pie 9,Octa Core,1.95,64,4,5000,75.41,156.48,9.4,188.0,Redmi,No,Yes,No,Yes,Yes,12,2,0,0,No,8,0
A3 ,12999,Gray,2,6.088,HD+,Android Pie 9,Octa Core,2.0,64,4,4030,71.85,153.48,8.475,173.8,Mi,No,Yes,No,Yes,Yes,48,8,2,0,No,32,0
Note 9 Pro ,14999,Black,2,6.67,FHD+,Android 10,Octa Core,2.3,128,6,5020,76.68,165.75,8.8,209.0,Redmi,No,Yes,No,Yes,Yes,48,8,5,2,No,16,0
Note 9 Pro ,14999,Blue,2,6.67,FHD+,Android 10,Octa Core,2.3,128,6,5020,76.68,165.75,8.8,209.0,Redmi,No,Yes,No,Yes,Yes,48,8,5,2,No,16,0
Note 9 Pro ,16998,Blue,2,6.67,FHD+,Android 10,Octa Core,2.3,64,4,5020,76.68,165.75,8.8,209.0,Redmi,No,Yes,No,Yes,Yes,48,8,5,2,No,16,0
8A Dual ,7399,Blue,2,6.22,HD+,Android Pie 9,Octa Core,2.0,32,2,5000,92.0,175.0,9.0,186.0,Redmi,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
8A Dual ,7499,Gray,2,6.22,HD+,Android Pie 9,Octa Core,2.0,32,3,5000,92.0,175.0,9.0,186.0,Redmi,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Note 8 ,11199,White,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,64,4,4000,75.3,158.3,8.35,190.0,Redmi,No,Yes,No,Yes,Yes,48,8,0,0,No,13,0
Note 8 ,13261,Blue,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,128,6,4000,75.3,158.3,8.35,190.0,Redmi,No,Yes,No,Yes,Yes,48,8,0,0,No,13,0
Note 8 ,10978,Blue,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,32,3,4000,75.3,158.3,8.35,190.0,Redmi,No,Yes,No,Yes,Yes,48,8,0,0,No,13,0
A3 ,12999,Blue,2,6.088,HD+,Android Pie 9,Octa Core,2.0,64,4,4030,71.85,153.48,8.475,173.8,Mi,No,Yes,No,Yes,Yes,48,8,2,0,No,32,0
A3 ,12999,White,2,6.088,HD+,Android Pie 9,Octa Core,2.0,64,4,4030,71.85,153.48,8.475,173.8,Mi,No,Yes,No,Yes,Yes,48,8,2,0,No,32,0
Note 8 ,11280,Blue,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,64,4,4000,75.3,158.3,8.35,190.0,Redmi,No,Yes,No,Yes,Yes,48,8,0,0,No,13,0
